model,family,alignment,axis,layer,relative_depth,r2_reader,r2_self
gemma_base,gemma,base,valence,0,0.0,0.1277775487924419,0.12091801791172
gemma_base,gemma,base,valence,1,0.04,0.0890615148335076,0.0728565257775113
gemma_base,gemma,base,valence,2,0.08,0.0903371473138081,0.0847868450592655
gemma_base,gemma,base,valence,3,0.12,0.1053258939391311,0.1052036532844498
gemma_base,gemma,base,valence,4,0.16,0.1225310733232044,0.1231632286183794
gemma_base,gemma,base,valence,5,0.2,0.061883884153062,0.0641215295180789
gemma_base,gemma,base,valence,6,0.24,0.0772167861408251,0.0814594393382486
gemma_base,gemma,base,valence,7,0.28,0.0989415566756812,0.0953720441695482
gemma_base,gemma,base,valence,8,0.32,0.1227974465365324,0.1139769269878347
gemma_base,gemma,base,valence,9,0.36,0.139345890049319,0.1514058316158633
gemma_base,gemma,base,valence,10,0.4,0.2343590039458553,0.226554771334757
gemma_base,gemma,base,valence,11,0.44,0.1941641575777447,0.1533147164893081
gemma_base,gemma,base,valence,12,0.48,0.1401115791191011,0.14605574612519
gemma_base,gemma,base,valence,13,0.52,0.161863963424837,0.150856681028788
gemma_base,gemma,base,valence,14,0.56,0.2667137901961222,0.3017472255296083
gemma_base,gemma,base,valence,15,0.6,0.2765945701521251,0.3118507719352577
gemma_base,gemma,base,valence,16,0.64,0.3308321809515978,0.3300645823114481
gemma_base,gemma,base,valence,17,0.68,0.1362178503645227,0.1531347439191185
gemma_base,gemma,base,valence,18,0.72,0.1703086557365531,0.1749642107292496
gemma_base,gemma,base,valence,19,0.76,0.1823634962754823,0.1982814525778909
gemma_base,gemma,base,valence,20,0.8,0.2279876027276562,0.2523538927613326
gemma_base,gemma,base,valence,21,0.84,0.2456802491877548,0.2752929336136763
gemma_base,gemma,base,valence,22,0.88,0.2483174744910836,0.2514053464244196
gemma_base,gemma,base,valence,23,0.92,0.215299780152334,0.2184002701748794
gemma_base,gemma,base,valence,24,0.96,0.2485405168397061,0.2543821743923388
gemma_base,gemma,base,valence,25,1.0,0.2671873830929584,0.2762738251603132
gemma_base,gemma,base,arousal,0,0.0,0.0173604654981618,0.0207935209932846
gemma_base,gemma,base,arousal,1,0.04,-0.0182336467050179,-0.0198438029965701
gemma_base,gemma,base,arousal,2,0.08,-0.0252476890854616,-0.0353776391989046
gemma_base,gemma,base,arousal,3,0.12,0.0095887605999421,0.0123389686943148
gemma_base,gemma,base,arousal,4,0.16,0.0217660976579958,0.0259285804537133
gemma_base,gemma,base,arousal,5,0.2,0.0038810368308409,0.0161128813749633
gemma_base,gemma,base,arousal,6,0.24,0.0327147355107917,0.0369168265911369
gemma_base,gemma,base,arousal,7,0.28,0.0253692811347271,0.0261071239576576
gemma_base,gemma,base,arousal,8,0.32,0.0136461962263291,0.0059199975421939
gemma_base,gemma,base,arousal,9,0.36,0.0255356296913552,0.0110538306505185
gemma_base,gemma,base,arousal,10,0.4,0.0299365297587798,0.0306700491512388
